Year,Month,Month Start Date,Community,Total Complaints,Total Number of Callers,data_as_of,data_loaded_at
2007,1,2007/01/01,San Francisco,3,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,1,2007/01/01,South San Franciscio,3,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,Alameda,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,Belmont,73,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,Brisbane,255,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,Burlingame,5,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,Daly City,5,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,Millbrae,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,Pacifica,21,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,Palo Alto,6,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,San Bruno,5,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,San Francisco,9,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,San Mateo,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,2,2007/02/01,Woodside,3,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Alameda,3,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Belmont,42,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Bolinas,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Brisbane,430,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Burlingame,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Daly City,8,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Foster City,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Hillsborough,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Millbrae,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Pacifica,39,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Palo Alto,5,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Portola Valley,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,Redwood City,14,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,San Bruno,13,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,San Francisco,4,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,San Mateo,4,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,3,2007/03/01,South San Franciscio,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Alameda,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Brisbane,323,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Burlingame,3,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Daly City,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Foster City,3,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Los Altos,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Menlo Park,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Millbrae,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Pacifica,36,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Palo Alto,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Redwood City,22,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,San Bruno,4,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,San Francisco,59,9,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,San Mateo,5,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,South San Franciscio,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,4,2007/04/01,Tiburon,3,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Alameda,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Atherton,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Brisbane,290,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Burlingame,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Daly City,5,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Foster City,5,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Moss Beach,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Mountain View,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Pacifica,69,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Palo Alto,11,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Portola Valley,8,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Redwood City,58,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,San Bruno,5,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,San Francisco,82,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,San Mateo,3,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,South San Franciscio,4,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Tiburon,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,5,2007/05/01,Woodside,9,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,Alameda,3,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,Brisbane,258,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,Burlingame,3,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,Daly City,14,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,Foster City,14,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,Oakland,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,Pacifica,25,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,Palo Alto,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,Redwood City,12,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,San Bruno,16,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,San Francisco,74,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,San Mateo,3,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,Santa Clara,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,South San Franciscio,5,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,6,2007/06/01,Woodside,3,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Alameda,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Brisbane,313,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Daly City,204,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Foster City,39,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Hillsborough,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Los Altos,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Menlo Park,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Pacifica,30,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Palo Alto,4,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Portola Valley,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Redwood City,46,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,San Bruno,6,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,San Francisco,80,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,San Mateo,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,South San Franciscio,4,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,7,2007/07/01,Woodside,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Alameda,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Brisbane,398,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Daly City,162,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Foster City,24,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Hillsborough,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Menlo Park,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Millbrae,5,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Oakland,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Pacifica,75,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Palo Alto,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Portola Valley,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Redwood City,39,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,San Bruno,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,San Francisco,66,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,San Mateo,3,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,South San Franciscio,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,8,2007/08/01,Woodside,6,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Alameda,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Brisbane,577,8,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Burlingame,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Daly City,110,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Foster City,52,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Hillsborough,22,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Menlo Park,3,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Millbrae,3,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Pacifica,49,11,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Palo Alto,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Redwood City,46,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,San Bruno,3,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,San Carlos,4,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,San Francisco,21,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,San Mateo,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,South San Franciscio,5,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,9,2007/09/01,Woodside,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Alameda,4,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Boulder Creek,5,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Brisbane,642,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Burlingame,4,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Daly City,309,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Foster City,37,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Hillsborough,4,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Menlo Park,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Oakland,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Pacifica,51,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Portola Valley,11,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Redwood City,58,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,San Bruno,9,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,San Francisco,43,18,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,South San Franciscio,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,10,2007/10/01,Woodside,5,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,11,2007/11/01,Brisbane,473,8,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,11,2007/11/01,Burlingame,3,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,11,2007/11/01,Daly City,144,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,11,2007/11/01,Foster City,11,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,11,2007/11/01,Millbrae,3,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,11,2007/11/01,Pacifica,7,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,11,2007/11/01,Redwood City,51,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,11,2007/11/01,San Bruno,6,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,11,2007/11/01,San Francisco,24,10,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,11,2007/11/01,San Mateo,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,11,2007/11/01,Woodside,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Alameda,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Brisbane,290,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Burlingame,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Daly City,156,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Foster City,5,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Millbrae,3,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Moss Beach,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Oakland,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Pacifica,3,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Palo Alto,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Redwood City,19,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,San Francisco,21,8,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,San Mateo,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,South San Franciscio,5,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2007,12,2007/12/01,Woodside,4,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,Belmont,3,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,Brisbane,158,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,Burlingame,5,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,Daly City,388,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,Fairfax,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,Foster City,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,Millbrae,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,Montara,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,Palo Alto,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,Redwood City,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,San Bruno,4,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,San Francisco,21,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,San Mateo,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,1,2008/01/01,South San Franciscio,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,Alameda,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,Brisbane,195,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,Burlingame,8,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,Daly City,224,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,Foster City,23,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,Hillsborough,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,Millbrae,4,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,Pacifica,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,Palo Alto,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,Redwood City,8,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,San Bruno,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,San Carlos,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,San Francisco,4,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,2,2008/02/01,San Mateo,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,Belmont,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,Brisbane,321,9,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,Daly City,356,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,Foster City,6,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,Millbrae,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,Pacifica,71,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,Redwood City,39,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,San Bruno,8,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,San Carlos,3,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,San Francisco,19,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,San Mateo,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,Sausalito,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,South San Franciscio,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,3,2008/03/01,Woodside,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,Brisbane,338,9,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,Burlingame,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,Daly City,140,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,Foster City,3,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,Pacifica,38,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,Palo Alto,23,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,Redwood City,66,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,San Bruno,4,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,San Carlos,5,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,San Francisco,29,9,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,San Mateo,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,4,2008/04/01,South San Franciscio,22,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,Alameda,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,Brisbane,356,10,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,Burlingame,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,Daly City,36,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,Foster City,5,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,Pacifica,44,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,Palo Alto,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,Redwood City,35,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,San Bruno,3,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,San Carlos,25,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,San Francisco,12,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,South San Franciscio,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,5,2008/05/01,Woodside,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,Brisbane,219,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,Daly City,236,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,Foster City,95,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,Hillsborough,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,Pacifica,39,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,Palo Alto,6,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,Portola Valley,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,Redwood City,40,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,San Bruno,4,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,San Carlos,94,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,San Francisco,6,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,South San Franciscio,11,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,6,2008/06/01,Woodside,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,7,2008/07/01,Brisbane,289,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,7,2008/07/01,Burlingame,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,7,2008/07/01,Daly City,50,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,7,2008/07/01,Foster City,27,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,7,2008/07/01,Menlo Park,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2008,7,2008/07/01,Pacifica,30,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
