Year,Month,Month Start Date,Community,Total Complaints,Total Number of Callers,data_as_of,data_loaded_at
2022,9,2022/09/01,Los Altos,10998,60,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,4,2023/04/01,Fremont,62,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,10,2023/10/01,Mountain View,2992,13,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,8,2023/08/01,Redwood City,384,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,7,2023/07/01,Felton,59,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,8,2021/08/01,Brisbane,308,12,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,8,2021/08/01,La Honda,5,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,9,2021/09/01,Emerald Hills,457,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,9,2021/09/01,South San Francisco,154,11,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,10,2021/10/01,Scotts Valley,6559,45,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,10,2021/10/01,Mountain View,3350,26,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,1,2022/01/01,Los Altos Hills,1439,11,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,2,2022/02/01,Moraga,209,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,5,2022/05/01,Los Altos,11739,57,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,5,2022/05/01,Castro Valley,40,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,10,2023/10/01,Hillsborough,34,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2024,2,2024/02/01,Berkeley,1231,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,12,2023/12/01,Santa Cruz,6972,41,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2024,2,2024/02/01,Los Altos,4420,48,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2024,2,2024/02/01,Los Altos Hills,738,11,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,3,2020/03/01,Orinda,66,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,10,2019/10/01,Daly City,1117,8,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,9,2019/09/01,Hayward,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,8,2019/08/01,Berkeley,1178,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,11,2019/11/01,Los Altos Hills,9911,23,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,10,2020/10/01,Los Altos Hills,1577,20,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,1,2021/01/01,Portola Valley,18332,23,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,1,2021/01/01,San Mateo,581,9,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,5,2021/05/01,Los Altos,12026,76,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,1,2020/01/01,El Granada,837,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,11,2021/11/01,Daly City,1837,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
